,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,458733.70361328125,1454.2160034179688,True,1000,0.0078950452954415,0.2507379400197757,0.10212919280580973,0.12087002703160304,6.054089705548624,0.16045482037293057,5
1,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,908575.6573677063,2817.7459239959717,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12409607243354041,2.8341243531632645,0.14924360684287166,10
2,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,1353268.2509422302,4724.029302597046,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12409607243354041,2.8341243531632645,0.14924360684287166,15
3,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,1818139.4956111908,5819.281339645386,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,20
4,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,2276425.8377552032,9524.9924659729,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,25
5,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,2729304.093837738,10365.049839019775,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,30
6,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,3186756.1049461365,11886.50631904602,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,35
7,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,3647858.8893413544,11533.935546875,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,40
8,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,4076881.154060364,11971.04001045227,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,45
9,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,4462139.081954956,13599.17688369751,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,50
10,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,4856891.644477844,15298.047542572021,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,55
11,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,5235374.816417694,15608.671188354492,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,60
12,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,5609296.825408936,16707.348346710205,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,65
13,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,5986048.21062088,18408.276557922363,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,70
14,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,6367531.21805191,19402.918100357056,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,75
15,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,6746213.370800018,20623.919248580933,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,80
16,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,7122831.697225571,21818.983793258667,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,85
17,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,7499039.3924713135,23487.51997947693,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,90
18,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,7874803.869009018,24923.32935333252,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,95
19,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,EMCC,V5,V6,,100,150,1,8249545.816421509,25915.029764175415,True,1000,0.0078950452954415,0.2507379400197757,0.08686017404060413,0.12931323943113815,2.4125314930204795,0.14484284404408931,100
