,modelname,method,query,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,exact_low,exact_upp,approx_low,approx_upp,rrmse,rmse,nruns
0,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,1559.8509311676025,38.69199752807617,True,1000,1.0,1.0,0.9542418123451801,0.9818103689191501,1.2629835358414232,0.04924098309651353,5
1,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,1559.8509311676025,38.815975189208984,True,1000,1.0,1.0,0.9807665294484798,0.9922647514930714,1.2748748051050034,0.020730664700393434,5
2,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,1559.8509311676025,38.28787803649902,True,1000,0.00658,0.00658,0.006138605350500114,0.006528709463543341,0.8054600236798855,0.0004443646652661964,5
3,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,1559.8509311676025,38.94400596618652,True,1000,0.00658,0.00658,0.006431083884767374,0.006672799693514432,0.5132975867021039,0.00017546450493575414,5
4,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,3221.2440967559814,78.57012748718262,True,1000,1.0,1.0,0.9410527051612637,0.9911764045036395,0.8408479123374799,0.05960402172914424,10
5,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,3221.2440967559814,78.26876640319824,True,1000,1.0,1.0,0.9753593841124484,0.9962327125801055,0.844427341851729,0.02492694136515663,10
6,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,3221.2440967559814,78.11617851257324,True,1000,0.00658,0.00658,0.005986307249569903,0.006931452581838963,0.5161611607336076,0.000689920284666661,10
7,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,3221.2440967559814,78.22895050048828,True,1000,0.00658,0.00658,0.00635890845190565,0.006992814421015767,0.5223681905548146,0.0004682918094920512,10
8,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,4790.296316146851,116.68586730957031,True,1000,1.0,1.0,0.9037641666089062,0.9970806537919708,0.7295636140576138,0.09628010288092079,15
9,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,4790.296316146851,116.65201187133789,True,1000,1.0,1.0,0.9603897683861549,0.9987504159616658,0.7305037579121135,0.03962993702709249,15
10,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,4790.296316146851,116.0581111907959,True,1000,0.00658,0.00658,0.0056462360907940665,0.007136783194391308,0.5157435544598332,0.0010871626206286416,15
11,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,4790.296316146851,116.81818962097168,True,1000,0.00658,0.00658,0.0062437363588684165,0.007157675279070422,0.5171489492385979,0.0006684175075476106,15
12,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,6379.982471466064,155.7908058166504,True,1000,1.0,1.0,0.9005936768549649,0.9988344656558171,0.7155451160623859,0.09941315582719724,20
13,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,6379.982471466064,179.73089218139648,True,1000,1.0,1.0,0.9591381313569141,0.999500734826857,0.7159067699419297,0.040864918630996,20
14,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,6379.982471466064,154.4189453125,True,1000,0.00658,0.00658,0.0056462360907940665,0.007136783194391308,0.5157435544598332,0.0010871626206286416,20
15,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,6379.982471466064,154.70480918884277,True,1000,0.00658,0.00658,0.0062437363588684165,0.007157675279070422,0.5171489492385979,0.0006684175075476106,20
16,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,7970.136642456055,196.06304168701172,True,1000,1.0,1.0,0.9005936768549649,0.9988344656558171,0.7155451160623859,0.09941315582719724,25
17,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,7970.136642456055,197.06010818481445,True,1000,1.0,1.0,0.9591381313569141,0.999500734826857,0.7159067699419297,0.040864918630996,25
18,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,7970.136642456055,194.8857307434082,True,1000,0.00658,0.00658,0.0056462360907940665,0.007136783194391308,0.5157435544598332,0.0010871626206286416,25
19,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,7970.136642456055,195.04094123840332,True,1000,0.00658,0.00658,0.0062437363588684165,0.007157675279070422,0.5171489492385979,0.0006684175075476106,25
20,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,9563.705444335938,233.3660125732422,True,1000,1.0,1.0,0.9005936768549649,0.9993804624439966,0.7115551932720592,0.09940825372170277,30
21,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,9563.705444335938,234.09581184387207,True,1000,1.0,1.0,0.9591381313569141,0.9997345556649794,0.7117452965358403,0.04086273081549745,30
22,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,9563.705444335938,232.1469783782959,True,1000,0.00658,0.00658,0.0056462360907940665,0.007903647929343439,0.5074026327041027,0.0016198638458187527,30
23,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,9563.705444335938,256.64377212524414,True,1000,0.00658,0.00658,0.0058618440344640355,0.007469644670538793,0.5028360684747395,0.001143335309807657,30
24,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,11166.012287139893,273.67234230041504,True,1000,1.0,1.0,0.9005936768549649,0.9993804624439966,0.7115551932720592,0.09940825372170277,35
25,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,11166.012287139893,277.02903747558594,True,1000,1.0,1.0,0.9591381313569141,0.9997345556649794,0.7117452965358403,0.04086273081549745,35
26,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,11166.012287139893,287.9149913787842,True,1000,0.00658,0.00658,0.0056462360907940665,0.007464763466281408,0.5001814769729094,0.0012863597589328726,35
27,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,11166.012287139893,270.8711624145508,True,1000,0.00658,0.00658,0.0058618440344640355,0.007157675279070422,0.5029295837205108,0.0009216597630817909,35
28,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,12765.504121780396,309.3891143798828,True,1000,1.0,1.0,0.9005936768549649,0.9993804624439966,0.7115551932720592,0.09940825372170277,40
29,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,12765.504121780396,309.54980850219727,True,1000,1.0,1.0,0.9591381313569141,0.9997345556649794,0.7117452965358403,0.04086273081549745,40
30,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,12765.504121780396,308.69579315185547,True,1000,0.00658,0.00658,0.0056462360907940665,0.007464763466281408,0.5001814769729094,0.0012863597589328726,40
31,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,12765.504121780396,334.5968723297119,True,1000,0.00658,0.00658,0.0062437363588684165,0.007157675279070422,0.5171489492385979,0.0006684175075476106,40
32,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,14369.606256484985,346.77815437316895,True,1000,1.0,1.0,0.9410527051612637,0.9993804624439966,0.7146568958447345,0.05895055042650751,45
33,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,50,1,14369.606256484985,374.0718364715576,True,1000,1.0,1.0,0.9753593841124484,0.9997345556649794,0.7148486121622247,0.024642045613399385,45
34,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,50,1,14369.606256484985,360.9049320220947,True,1000,0.00658,0.00658,0.0056462360907940665,0.007464763466281408,0.5001814769729094,0.0012863597589328726,45
35,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,50,1,14369.606256484985,354.3581962585449,True,1000,0.00658,0.00658,0.0062437363588684165,0.007157675279070422,0.5171489492385979,0.0006684175075476106,45
36,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,50,1,15982.57827758789,388.3018493652344,True,1000,1.0,1.0,0.9410527051612637,0.9993804624439966,0.7146568958447345,0.05895055042650751,50
